iscx_dnn_loss,iscx_dnn_val_loss,iscx_cnn_loss,iscx_cnn_val_loss,kaggle_im_dnn_loss,kaggle_im_dnn_val_loss,kaggle_im_cnn_loss,kaggle_im_cnn_val_loss,kaggle_bl_dnn_loss,kaggle_bl_dnn_val_loss,kaggle_bl_cnn_loss,kaggle_bl_cnn_val_loss,cicids2017_dnn_loss,cicids2017_dnn_val_loss,cicids2017_cnn_loss,cicids2017_cnn_val_loss,cicids2018_dnn_loss,cicids2018_dnn_val_loss,cicids2018_cnn_loss,cicids2018_cnn_val_loss
0.05,0.0306,0.0498,0.0321,0.0419,0.0042,0.0119,0.0016,0.0182,4.99E-04,0.0073,3.86E-04,0.011,0.0023,0.0439,0.0116,0.0131,1.73E-04,0.0094,1.98E-05
0.0296,0.0247,0.0293,0.0239,0.0051,0.0024,0.0018,9.88E-04,0.0012,3.83E-04,7.29E-04,1.40E-04,0.0024,0.0015,0.0108,0.0073,9.82E-05,1.97E-04,1.74E-05,1.28E-06
0.0252,0.0244,0.0241,0.0194,0.0036,0.0016,0.0014,7.14E-04,5.77E-04,3.47E-04,7.38E-04,2.33E-04,0.0017,0.001,0.0071,0.0049,6.04E-05,2.74E-04,2.06E-04,3.69E-07
0.0217,0.0189,0.02,0.0172,0.0027,1.30E-03,1.20E-03,7.25E-04,4.61E-04,2.39E-04,3.70E-04,8.43E-04,0.0013,8.62E-04,0.0061,0.006,5.97E-05,7.01E-04,3.56E-07,8.72E-09
0.0188,0.0155,0.0174,0.0148,0.0022,9.08E-04,9.11E-04,7.27E-04,2.77E-04,2.08E-04,4.05E-04,1.30E-04,0.0011,6.71E-04,0.0049,0.0049,1.54E-05,9.31E-04,3.34E-07,6.66E-09
0.0166,0.0133,0.0157,0.0131,0.0019,1.00E-03,8.97E-04,5.78E-04,3.60E-04,3.74E-04,2.78E-04,3.07E-04,9.55E-04,6.51E-04,4.70E-03,0.0042,6.82E-06,8.66E-04,5.09E-09,3.16E-10
0.0152,0.0127,0.0144,0.0128,0.0017,6.65E-04,7.38E-04,5.33E-04,2.41E-04,2.45E-04,2.54E-04,4.08E-04,8.57E-04,6.00E-04,4.10E-03,0.0033,6.72E-05,9.67E-04,3.73E-10,3.17E-10
0.0141,0.0119,0.0135,0.0121,0.0015,8.33E-04,7.29E-04,7.62E-04,2.08E-04,2.89E-04,2.33E-04,3.49E-04,7.94E-04,5.14E-04,3.90E-03,0.0033,2.94E-06,1.60E-03,5.64E-10,6.82E-11
0.0133,0.0128,0.013,0.0118,0.002,7.15E-04,6.49E-04,5.57E-04,1.65E-04,3.13E-04,2.03E-04,1.48E-04,7.41E-04,5.83E-04,3.60E-03,0.0036,1.47E-06,1.60E-03,3.07E-10,7.73E-12
0.0127,0.011,0.0124,0.0113,0.0012,6.97E-04,6.07E-04,5.04E-04,2.40E-04,3.74E-04,1.57E-04,1.28E-04,6.93E-04,5.20E-04,3.50E-03,0.0023,3.81E-05,2.00E-03,3.21E-10,1.00E-11
